22.2,-70,NaN,718307,-64,21,979,139,0,NaN,139,NaN,85,NaN,NaN,NaN
22.7,-70.4,NaN,718307.25,-36,12,973,148,0,NaN,148,NaN,33,NaN,NaN,NaN
23.3,-70.7,NaN,718307.5,-25,12,962,176,0,NaN,176,NaN,41,NaN,NaN,NaN
23.8,-71,NaN,718307.75,-29,11,957,185,0,NaN,185,NaN,48,NaN,NaN,NaN
24.2,-71.1,NaN,718308,-13,8,955,185,0,NaN,185,NaN,56,NaN,NaN,NaN
24.6,-71.1,NaN,718308.25,0,7,960,176,0,NaN,176,NaN,62,NaN,NaN,NaN
25,-71.1,NaN,718308.5,0,7,963,167,0,NaN,167,NaN,55,NaN,NaN,NaN
25.4,-71.2,NaN,718308.75,-13,8,963,167,0,NaN,167,NaN,59,NaN,NaN,NaN
25.8,-71.5,NaN,718309,-34,9,963,167,0,NaN,167,NaN,62,NaN,NaN,NaN
26.3,-71.9,NaN,718309.25,-36,11,970,148,0,NaN,148,NaN,48,NaN,NaN,NaN
26.9,-72.3,NaN,718309.5,-31,13,966,157,0,NaN,157,NaN,60,NaN,NaN,NaN
27.4,-72.9,NaN,718309.75,-47,14,967,157,0,NaN,157,NaN,68,NaN,NaN,NaN
28,-73.2,NaN,718310,-24,12,967,157,0,NaN,157,NaN,72,NaN,NaN,NaN
28.7,-73.4,NaN,718310.25,-14,13,973,148,0,NaN,148,NaN,47,NaN,NaN,NaN
29.4,-73.5,NaN,718310.5,-7,13,954,157,0,NaN,157,NaN,98,NaN,NaN,NaN
30.5,-73.3,NaN,718310.75,9,21,963,167,0,NaN,167,NaN,74,NaN,NaN,NaN
31.7,-72.5,NaN,718311,30,26,970,167,0,NaN,167,NaN,68,NaN,NaN,NaN
32.9,-71.4,NaN,718311.25,37,28,963,167,0,NaN,167,NaN,66,NaN,NaN,NaN
34,-70.3,NaN,718311.5,40,27,963,167,0,NaN,167,NaN,80,NaN,NaN,NaN
35,-69.2,NaN,718311.75,42,25,957,176,0,NaN,176,NaN,86,NaN,NaN,NaN
35.8,-68,NaN,718312,50,23,958,176,0,NaN,176,NaN,83,NaN,NaN,NaN
36.5,-66.8,NaN,718312.25,54,22,960,167,0,NaN,167,NaN,92,NaN,NaN,NaN
37,-65.2,NaN,718312.5,68,26,968,167,0,NaN,167,NaN,94,NaN,NaN,NaN
37.1,-63,NaN,718312.75,86,33,966,176,0,NaN,176,NaN,93,NaN,NaN,NaN
37.2,-60.1,NaN,718313,87,43,956,185,0,NaN,185,NaN,57,NaN,NaN,NaN
37.5,-57,NaN,718313.25,82,46,950,194,0,NaN,194,NaN,61,NaN,NaN,NaN
38.3,-54,NaN,718313.5,70,46,951,194,0,NaN,194,NaN,59,NaN,NaN,NaN
39.7,-50.5,NaN,718313.75,62,57,957,185,0,NaN,185,NaN,69,NaN,NaN,NaN
41.9,-47,NaN,718314,49,64,963,176,0,NaN,176,NaN,80,NaN,NaN,NaN
44.7,-43.5,NaN,718314.25,41,70,972,167,0,NaN,167,NaN,76,NaN,NaN,NaN
47.5,-40,NaN,718314.5,40,69,954,167,0,NaN,167,NaN,78,NaN,NaN,NaN
50.2,-36.5,NaN,718314.75,39,66,958,167,0,NaN,167,NaN,77,NaN,NaN,NaN
52.8,-33,NaN,718315,39,63,958,167,0,NaN,167,NaN,80,NaN,NaN,NaN
55.2,-29.4,NaN,718315.25,40,59,960,157,0,NaN,157,NaN,86,NaN,NaN,NaN
57.3,-24.5,NaN,718315.5,50,64,961,148,0,NaN,148,NaN,94,NaN,NaN,NaN
58.7,-19.4,NaN,718315.75,60,56,963,139,0,NaN,139,NaN,99,NaN,NaN,NaN
60.2,-12.7,NaN,718316,63,69,967,130,0,NaN,130,NaN,102,NaN,NaN,NaN
61.5,-7,NaN,718316.25,62,57,969,120,0,NaN,120,NaN,122,NaN,NaN,NaN
62.5,-2,NaN,718316.5,65,47,975,111,0,NaN,111,NaN,111,NaN,NaN,NaN
62.8,-357,NaN,718316.75,80,43,964,111,0,NaN,111,NaN,100,NaN,NaN,NaN
63,-351,NaN,718317,83,51,968,102,0,NaN,102,NaN,104,NaN,NaN,NaN
63.4,-344,NaN,718317.25,80,59,967,102,0,NaN,102,NaN,106,NaN,NaN,NaN
64,-337,NaN,718317.5,76,59,970,93,0,NaN,93,NaN,109,NaN,NaN,NaN
64.7,-330,NaN,718317.75,74,58,970,93,0,NaN,93,NaN,109,NaN,NaN,NaN
65.7,-325,NaN,718318,62,43,970,93,0,NaN,93,NaN,107,NaN,NaN,NaN
66.8,-320.5,NaN,718318.25,57,39,969,93,0,NaN,93,NaN,108,NaN,NaN,NaN
68,-317.5,NaN,718318.5,42,31,969,93,0,NaN,93,NaN,107,NaN,NaN,NaN
69.5,-314,NaN,718318.75,39,36,968,93,0,NaN,93,NaN,109,NaN,NaN,NaN
71,-310.5,NaN,718319,37,35,968,93,0,NaN,93,NaN,109,NaN,NaN,NaN
